<TICKER>,<DTYYYYMMDD>,<DTYYYYMMDD2>,code,close
شاخص_كل6,13890107,20100327,IDXS,12613.90
شاخص_كل6,13890108,20100328,IDXS,12732.10
شاخص_كل6,13890109,20100329,IDXS,12823.90
شاخص_كل6,13890110,20100330,IDXS,12867.00
شاخص_كل6,13890111,20100331,IDXS,12945.00
شاخص_كل6,13890114,20100403,IDXS,13135.70
شاخص_كل6,13890115,20100404,IDXS,13320.10
شاخص_كل6,13890116,20100405,IDXS,13317.00
شاخص_كل6,13890117,20100406,IDXS,13476.50
شاخص_كل6,13890118,20100407,IDXS,13681.20
شاخص_كل6,13890121,20100410,IDXS,13754.00
شاخص_كل6,13890122,20100411,IDXS,13802.60
شاخص_كل6,13890123,20100412,IDXS,13832.80
شاخص_كل6,13890124,20100413,IDXS,13904.00
شاخص_كل6,13890125,20100414,IDXS,13903.40
شاخص_كل6,13890128,20100417,IDXS,13815.70
شاخص_كل6,13890129,20100418,IDXS,13935.00
شاخص_كل6,13890130,20100419,IDXS,14138.30
شاخص_كل6,13890131,20100420,IDXS,14185.70
شاخص_كل6,13890201,20100421,IDXS,14129.20
شاخص_كل6,13890204,20100424,IDXS,14079.90
شاخص_كل6,13890205,20100425,IDXS,14053.30
شاخص_كل6,13890206,20100426,IDXS,14129.00
شاخص_كل6,13890207,20100427,IDXS,14139.40
شاخص_كل6,13890208,20100428,IDXS,14012.50
شاخص_كل6,13890211,20100501,IDXS,14136.70
شاخص_كل6,13890212,20100502,IDXS,14085.90
شاخص_كل6,13890213,20100503,IDXS,14012.60
شاخص_كل6,13890214,20100504,IDXS,14036.70
شاخص_كل6,13890215,20100505,IDXS,13944.80
شاخص_كل6,13890218,20100508,IDXS,13920.50
شاخص_كل6,13890219,20100509,IDXS,14014.30
شاخص_كل6,13890220,20100510,IDXS,14099.50
شاخص_كل6,13890221,20100511,IDXS,14131.70
شاخص_كل6,13890222,20100512,IDXS,14105.30
شاخص_كل6,13890225,20100515,IDXS,14096.10
شاخص_كل6,13890226,20100516,IDXS,14138.80
شاخص_كل6,13890228,20100518,IDXS,14156.70
شاخص_كل6,13890229,20100519,IDXS,14155.60
شاخص_كل6,13890301,20100522,IDXS,14117.20
شاخص_كل6,13890302,20100523,IDXS,14080.50
شاخص_كل6,13890303,20100524,IDXS,14115.50
شاخص_كل6,13890304,20100525,IDXS,14184.30
شاخص_كل6,13890305,20100526,IDXS,14153.80
شاخص_كل6,13890308,20100529,IDXS,14119.90
شاخص_كل6,13890309,20100530,IDXS,14087.60
شاخص_كل6,13890310,20100531,IDXS,14038.30
شاخص_كل6,13890311,20100601,IDXS,14109.00
شاخص_كل6,13890312,20100602,IDXS,14182.40
شاخص_كل6,13890316,20100606,IDXS,14164.70
شاخص_كل6,13890317,20100607,IDXS,14135.30
شاخص_كل6,13890318,20100608,IDXS,14148.80
شاخص_كل6,13890319,20100609,IDXS,14055.10
شاخص_كل6,13890322,20100612,IDXS,14114.90
شاخص_كل6,13890323,20100613,IDXS,14180.30
شاخص_كل6,13890324,20100614,IDXS,14288.50
شاخص_كل6,13890325,20100615,IDXS,14394.20
شاخص_كل6,13890326,20100616,IDXS,14372.00
شاخص_كل6,13890329,20100619,IDXS,14340.60
شاخص_كل6,13890330,20100620,IDXS,14280.90
شاخص_كل6,13890331,20100621,IDXS,14257.00
شاخص_كل6,13890401,20100622,IDXS,14350.60
شاخص_كل6,13890402,20100623,IDXS,14489.40
شاخص_كل6,13890406,20100627,IDXS,14503.00
شاخص_كل6,13890407,20100628,IDXS,14500.90
شاخص_كل6,13890408,20100629,IDXS,14545.30
شاخص_كل6,13890409,20100630,IDXS,14552.30
